Komentar,Username,Like,Sentimen,cleaning,case_folding,token,stopword,stemming
"banyak netizen bocah ngak ngerti cuman ikutan aja jelekin diri sendiri, inferiority complex parah, ya anggap itu 50%, sisanya buzzer soros atau pengkhianat bangsa.",@krisnandihs.8839,0,Negatif,banyak netizen bocah ngak ngerti cuman ikutan aja jelekin diri sendiri inferiority complex parah ya anggap itu sisanya buzzer soros atau pengkhianat bangsa,banyak netizen bocah ngak ngerti cuman ikutan aja jelekin diri sendiri inferiority complex parah ya anggap itu sisanya buzzer soros atau pengkhianat bangsa,"['banyak', 'netizen', 'bocah', 'ngak', 'ngerti', 'cuman', 'ikutan', 'aja', 'jelekin', 'diri', 'sendiri', 'inferiority', 'complex', 'parah', 'ya', 'anggap', 'itu', 'sisanya', 'buzzer', 'soros', 'atau', 'pengkhianat', 'bangsa']","['banyak', 'netizen', 'bocah', 'ngak', 'ngerti', 'cuman', 'ikutan', 'aja', 'jelekin', 'diri', 'sendiri', 'inferiority', 'complex', 'parah', 'ya', 'anggap', 'sisanya', 'buzzer', 'soros', 'pengkhianat', 'bangsa']",banyak netizen bocah ngak ngerti cuman ikut aja jelekin diri sendiri inferiority complex parah ya anggap sisa buzzer soros khianat bangsa
Ini hrus dibacah sma yg demo” mlu kerjaannya,@allucky3182,0,Netral,Ini hrus dibacah sma yg demo mlu kerjaannya,ini hrus dibacah sma yg demo mlu kerjaannya,"['ini', 'hrus', 'dibacah', 'sma', 'yg', 'demo', 'mlu', 'kerjaannya']","['hrus', 'dibacah', 'sma', 'yg', 'demo', 'mlu', 'kerjaannya']",hrus bacah sma yg demo mlu kerja
Saya setuju Dengan Benix pemikiran nya seperti prof Gema Astronaci ❤ berdasarkan data dan fakta... tp ya masih banyak rakyat dungu otak nasi bungkus lauk tahu bacem suka minum cendol,@leozimets1665,0,Positif,Saya setuju Dengan Benix pemikiran nya seperti prof Gema Astronaci berdasarkan data dan fakta tp ya masih banyak rakyat dungu otak nasi bungkus lauk tahu bacem suka minum cendol,saya setuju dengan benix pemikiran nya seperti prof gema astronaci berdasarkan data dan fakta tp ya masih banyak rakyat dungu otak nasi bungkus lauk tahu bacem suka minum cendol,"['saya', 'setuju', 'dengan', 'benix', 'pemikiran', 'nya', 'seperti', 'prof', 'gema', 'astronaci', 'berdasarkan', 'data', 'dan', 'fakta', 'tp', 'ya', 'masih', 'banyak', 'rakyat', 'dungu', 'otak', 'nasi', 'bungkus', 'lauk', 'tahu', 'bacem', 'suka', 'minum', 'cendol']","['setuju', 'benix', 'pemikiran', 'nya', 'seperti', 'prof', 'gema', 'astronaci', 'berdasarkan', 'data', 'fakta', 'tp', 'ya', 'masih', 'banyak', 'rakyat', 'dungu', 'otak', 'nasi', 'bungkus', 'lauk', 'tahu', 'bacem', 'suka', 'minum', 'cendol']",tuju benix pikir nya seperti prof gema astronaci dasar data fakta tp ya masih banyak rakyat dungu otak nasi bungkus lauk tahu bacem suka minum cendol
"aplikasi singapura perlu dikeluarkan dari indonesia seperti GRAB,SHOPIE,LAZADA",@SaukyIbra,0,Netral,aplikasi singapura perlu dikeluarkan dari indonesia seperti GRABSHOPIELAZADA,aplikasi singapura perlu dikeluarkan dari indonesia seperti grabshopielazada,"['aplikasi', 'singapura', 'perlu', 'dikeluarkan', 'dari', 'indonesia', 'seperti', 'grabshopielazada']","['aplikasi', 'singapura', 'perlu', 'dikeluarkan', 'indonesia', 'seperti', 'grabshopielazada']",aplikasi singapura perlu keluar indonesia seperti grabshopielazada
Kasi paham ben para antek2 asing,@Revolussioner,0,Netral,Kasi paham ben para antek asing,kasi paham ben para antek asing,"['kasi', 'paham', 'ben', 'para', 'antek', 'asing']","['kasi', 'paham', 'ben', 'para', 'antek', 'asing']",kasi paham ben para antek asing
"Mumpung harga saham lagi anjlok gegara orang² bodoh yg gampang di takut²i orang soros dan antek Singapura, mendingan kita yg waras saatnya beli...mumpung lagih murah😊",@pahreppy,0,Netral,Mumpung harga saham lagi anjlok gegara orang bodoh yg gampang di takuti orang soros dan antek Singapura mendingan kita yg waras saatnya belimumpung lagih murah,mumpung harga saham lagi anjlok gegara orang bodoh yg gampang di takuti orang soros dan antek singapura mendingan kita yg waras saatnya belimumpung lagih murah,"['mumpung', 'harga', 'saham', 'lagi', 'anjlok', 'gegara', 'orang', 'bodoh', 'yg', 'gampang', 'di', 'takuti', 'orang', 'soros', 'dan', 'antek', 'singapura', 'mendingan', 'kita', 'yg', 'waras', 'saatnya', 'belimumpung', 'lagih', 'murah']","['mumpung', 'harga', 'saham', 'lagi', 'anjlok', 'gegara', 'orang', 'bodoh', 'yg', 'gampang', 'takuti', 'orang', 'soros', 'antek', 'singapura', 'mendingan', 'yg', 'waras', 'saatnya', 'belimumpung', 'lagih', 'murah']",mumpung harga saham lagi anjlok gegara orang bodoh yg gampang takut orang soros antek singapura mending yg waras saat belimumpung lagih murah
Kominfo ga ada fungsi nya. Masa makin kesini makin banyak berita dan konten hoax. Gila kaya ga ada filter nya,@sailormoon3943,0,Netral,Kominfo ga ada fungsi nya Masa makin kesini makin banyak berita dan konten hoax Gila kaya ga ada filter nya,kominfo ga ada fungsi nya masa makin kesini makin banyak berita dan konten hoax gila kaya ga ada filter nya,"['kominfo', 'ga', 'ada', 'fungsi', 'nya', 'masa', 'makin', 'kesini', 'makin', 'banyak', 'berita', 'dan', 'konten', 'hoax', 'gila', 'kaya', 'ga', 'ada', 'filter', 'nya']","['kominfo', 'ga', 'ada', 'fungsi', 'nya', 'masa', 'makin', 'kesini', 'makin', 'banyak', 'berita', 'konten', 'hoax', 'gila', 'kaya', 'ga', 'ada', 'filter', 'nya']",kominfo ga ada fungsi nya masa makin kesini makin banyak berita konten hoax gila kaya ga ada filter nya
Monggo cabut. Biar prusahaan indo milik orang indo 🥳 harga turun itu saatnya kulakan 🤑,@denis.setiawn,0,Netral,Monggo cabut Biar prusahaan indo milik orang indo harga turun itu saatnya kulakan,monggo cabut biar prusahaan indo milik orang indo harga turun itu saatnya kulakan,"['monggo', 'cabut', 'biar', 'prusahaan', 'indo', 'milik', 'orang', 'indo', 'harga', 'turun', 'itu', 'saatnya', 'kulakan']","['monggo', 'cabut', 'biar', 'prusahaan', 'indo', 'milik', 'orang', 'indo', 'harga', 'turun', 'saatnya', 'kulakan']",monggo cabut biar prusahaan indo milik orang indo harga turun saat kulak
Siapa si msci itu😅,@salfa.petualang,0,Netral,Siapa si msci itu,siapa si msci itu,"['siapa', 'si', 'msci', 'itu']","['siapa', 'si', 'msci']",siapa si msci
Klo gua jadi presidennya....dah gua coret dari wni tu monyet2 yg berfikir 0,@harunmustofa5208,0,Netral,Klo gua jadi presidennyadah gua coret dari wni tu monyet yg berfikir,klo gua jadi presidennyadah gua coret dari wni tu monyet yg berfikir,"['klo', 'gua', 'jadi', 'presidennyadah', 'gua', 'coret', 'dari', 'wni', 'tu', 'monyet', 'yg', 'berfikir']","['klo', 'gua', 'jadi', 'presidennyadah', 'gua', 'coret', 'wni', 'tu', 'monyet', 'yg', 'berfikir']",klo gua jadi presidennyadah gua coret wni tu monyet yg berfikir
Go coin Sama marketchap  mirip bulan??,@erique_charles,0,Netral,Go coin Sama marketchap mirip bulan,go coin sama marketchap mirip bulan,"['go', 'coin', 'sama', 'marketchap', 'mirip', 'bulan']","['go', 'coin', 'sama', 'marketchap', 'mirip', 'bulan']",go coin sama marketchap mirip bulan
"wkwkwkw... selalu seru dengar ulasan Om Bennix... (spill donk kaos polo nya beli dimana, keren tuh.. hehehe , ada yang endorse..?) hihihi",@Fung-w8t,0,Netral,wkwkwkw selalu seru dengar ulasan Om Bennix spill donk kaos polo nya beli dimana keren tuh hehehe ada yang endorse hihihi,wkwkwkw selalu seru dengar ulasan om bennix spill donk kaos polo nya beli dimana keren tuh hehehe ada yang endorse hihihi,"['wkwkwkw', 'selalu', 'seru', 'dengar', 'ulasan', 'om', 'bennix', 'spill', 'donk', 'kaos', 'polo', 'nya', 'beli', 'dimana', 'keren', 'tuh', 'hehehe', 'ada', 'yang', 'endorse', 'hihihi']","['wkwkwkw', 'selalu', 'seru', 'dengar', 'ulasan', 'om', 'bennix', 'spill', 'donk', 'kaos', 'polo', 'nya', 'beli', 'dimana', 'keren', 'tuh', 'hehehe', 'ada', 'endorse', 'hihihi']",wkwkwkw selalu seru dengar ulas om bennix spill donk kaos polo nya beli mana keren tuh hehehe ada endorse hihihi
besok.saham meroket amin,@ferdywijaya3847,1,Netral,besoksaham meroket amin,besoksaham meroket amin,"['besoksaham', 'meroket', 'amin']","['besoksaham', 'meroket', 'amin']",besoksaham roket amin
Suarakan terus kebenaran..bung bennix..terlalu banyak yg tolol di Indonesia.,@despiliang4995,0,Netral,Suarakan terus kebenaranbung bennixterlalu banyak yg tolol di Indonesia,suarakan terus kebenaranbung bennixterlalu banyak yg tolol di indonesia,"['suarakan', 'terus', 'kebenaranbung', 'bennixterlalu', 'banyak', 'yg', 'tolol', 'di', 'indonesia']","['suarakan', 'terus', 'kebenaranbung', 'bennixterlalu', 'banyak', 'yg', 'tolol', 'indonesia']",suara terus kebenaranbung bennixterlalu banyak yg tolol indonesia
👍🙏🇮🇩,@jajangsaepudin-23,0,Netral,,,[],[],
"Banyak warga Indonesia yg dibayar sm George Soros makanya komennya pada negatif ke negara sendiri. 😂🤣
Maklum lah SDM rendah makanya gampang dibayar yg penting perut kenyang. 🤮😏",@jojo.1896,0,Netral,Banyak warga Indonesia yg dibayar sm George Soros makanya komennya pada negatif ke negara sendiri Maklum lah SDM rendah makanya gampang dibayar yg penting perut kenyang,banyak warga indonesia yg dibayar sm george soros makanya komennya pada negatif ke negara sendiri maklum lah sdm rendah makanya gampang dibayar yg penting perut kenyang,"['banyak', 'warga', 'indonesia', 'yg', 'dibayar', 'sm', 'george', 'soros', 'makanya', 'komennya', 'pada', 'negatif', 'ke', 'negara', 'sendiri', 'maklum', 'lah', 'sdm', 'rendah', 'makanya', 'gampang', 'dibayar', 'yg', 'penting', 'perut', 'kenyang']","['banyak', 'warga', 'indonesia', 'yg', 'dibayar', 'sm', 'george', 'soros', 'makanya', 'komennya', 'negatif', 'negara', 'sendiri', 'maklum', 'lah', 'sdm', 'rendah', 'makanya', 'gampang', 'dibayar', 'yg', 'penting', 'perut', 'kenyang']",banyak warga indonesia yg bayar sm george soros makanya komennya negatif negara sendiri maklum lah sdm rendah makanya gampang bayar yg penting perut kenyang
"Cara dapat uang saat ini: tebak2an saham yg akan naik dan turun ditambah frame seolah2 analisa dan fundamental. Kalau tebakan benar maka akan ngmg ""tuh kan saya udh ngmg"", kalau tebakan salah ""itu karena soros, elit global bla bla"". Sayangnya, ada aja orang orang berlagak pintar mempercayainya tanpa mengkritisi",@rakyatbiasa837,0,Netral,Cara dapat uang saat ini tebakan saham yg akan naik dan turun ditambah frame seolah analisa dan fundamental Kalau tebakan benar maka akan ngmg tuh kan saya udh ngmg kalau tebakan salah itu karena soros elit global bla bla Sayangnya ada aja orang orang berlagak pintar mempercayainya tanpa mengkritisi,cara dapat uang saat ini tebakan saham yg akan naik dan turun ditambah frame seolah analisa dan fundamental kalau tebakan benar maka akan ngmg tuh kan saya udh ngmg kalau tebakan salah itu karena soros elit global bla bla sayangnya ada aja orang orang berlagak pintar mempercayainya tanpa mengkritisi,"['cara', 'dapat', 'uang', 'saat', 'ini', 'tebakan', 'saham', 'yg', 'akan', 'naik', 'dan', 'turun', 'ditambah', 'frame', 'seolah', 'analisa', 'dan', 'fundamental', 'kalau', 'tebakan', 'benar', 'maka', 'akan', 'ngmg', 'tuh', 'kan', 'saya', 'udh', 'ngmg', 'kalau', 'tebakan', 'salah', 'itu', 'karena', 'soros', 'elit', 'global', 'bla', 'bla', 'sayangnya', 'ada', 'aja', 'orang', 'orang', 'berlagak', 'pintar', 'mempercayainya', 'tanpa', 'mengkritisi']","['cara', 'dapat', 'uang', 'saat', 'tebakan', 'saham', 'yg', 'akan', 'naik', 'turun', 'ditambah', 'frame', 'seolah', 'analisa', 'fundamental', 'kalau', 'tebakan', 'benar', 'maka', 'akan', 'ngmg', 'tuh', 'kan', 'udh', 'ngmg', 'kalau', 'tebakan', 'salah', 'soros', 'elit', 'global', 'bla', 'bla', 'sayangnya', 'ada', 'aja', 'orang', 'orang', 'berlagak', 'pintar', 'mempercayainya', 'tanpa', 'mengkritisi']",cara dapat uang saat tebak saham yg akan naik turun tambah frame olah analisa fundamental kalau tebak benar maka akan ngmg tuh kan udh ngmg kalau tebak salah soros elit global bla bla sayang ada aja orang orang lagak pintar percaya tanpa kritisi
"Sejak gw ngikutin chanel ini gw jdi semakin yakin klo emiten yg harga sahamnya naik dua kali,  tiga kali lipat di bursa itu hanya mainan.,",@mizukiakira2996,0,Netral,Sejak gw ngikutin chanel ini gw jdi semakin yakin klo emiten yg harga sahamnya naik dua kali tiga kali lipat di bursa itu hanya mainan,sejak gw ngikutin chanel ini gw jdi semakin yakin klo emiten yg harga sahamnya naik dua kali tiga kali lipat di bursa itu hanya mainan,"['sejak', 'gw', 'ngikutin', 'chanel', 'ini', 'gw', 'jdi', 'semakin', 'yakin', 'klo', 'emiten', 'yg', 'harga', 'sahamnya', 'naik', 'dua', 'kali', 'tiga', 'kali', 'lipat', 'di', 'bursa', 'itu', 'hanya', 'mainan']","['sejak', 'gw', 'ngikutin', 'chanel', 'gw', 'jdi', 'semakin', 'yakin', 'klo', 'emiten', 'yg', 'harga', 'sahamnya', 'naik', 'dua', 'kali', 'tiga', 'kali', 'lipat', 'bursa', 'hanya', 'mainan']",sejak gw ngikutin chanel gw jdi makin yakin klo emiten yg harga saham naik dua kali tiga kali lipat bursa hanya main
"GA MUNGKIN  Morgan Stanley salah  lapor. Data yang mereka kumpulin adalah profesional, terkutip dari real player & real investor. 

HARUSNYA Indonesia baiki diri sendiri secara jujur.",@mahdiismail8853,0,Positif,GA MUNGKIN Morgan Stanley salah lapor Data yang mereka kumpulin adalah profesional terkutip dari real player real investor HARUSNYA Indonesia baiki diri sendiri secara jujur,ga mungkin morgan stanley salah lapor data yang mereka kumpulin adalah profesional terkutip dari real player real investor harusnya indonesia baiki diri sendiri secara jujur,"['ga', 'mungkin', 'morgan', 'stanley', 'salah', 'lapor', 'data', 'yang', 'mereka', 'kumpulin', 'adalah', 'profesional', 'terkutip', 'dari', 'real', 'player', 'real', 'investor', 'harusnya', 'indonesia', 'baiki', 'diri', 'sendiri', 'secara', 'jujur']","['ga', 'mungkin', 'morgan', 'stanley', 'salah', 'lapor', 'data', 'mereka', 'kumpulin', 'profesional', 'terkutip', 'real', 'player', 'real', 'investor', 'harusnya', 'indonesia', 'baiki', 'diri', 'sendiri', 'secara', 'jujur']",ga mungkin morgan stanley salah lapor data mereka kumpulin profesional kutip real player real investor harus indonesia baik diri sendiri cara jujur
#SELL_SINGAPUR beli Genset dan Baterai A3 Buat Remot Ac Non Karbon...,@joni29927,0,Netral,beli Genset dan Baterai A Buat Remot Ac Non Karbon,beli genset dan baterai a buat remot ac non karbon,"['beli', 'genset', 'dan', 'baterai', 'a', 'buat', 'remot', 'ac', 'non', 'karbon']","['beli', 'genset', 'baterai', 'a', 'buat', 'remot', 'ac', 'non', 'karbon']",beli genset baterai a buat remot ac non karbon
ihsg juli akan 🚀🚀🚀🚀🚀,@solichanahmad,0,Netral,ihsg juli akan,ihsg juli akan,"['ihsg', 'juli', 'akan']","['ihsg', 'juli', 'akan']",ihsg juli akan
Tidak Usah Indonesia kerjasama apapun dengan Singapura tidak ada manfaatnya.,@igedematra7338,0,Netral,Tidak Usah Indonesia kerjasama apapun dengan Singapura tidak ada manfaatnya,tidak usah indonesia kerjasama apapun dengan singapura tidak ada manfaatnya,"['tidak', 'usah', 'indonesia', 'kerjasama', 'apapun', 'dengan', 'singapura', 'tidak', 'ada', 'manfaatnya']","['tidak', 'usah', 'indonesia', 'kerjasama', 'apapun', 'singapura', 'tidak', 'ada', 'manfaatnya']",tidak usah indonesia kerjasama apa singapura tidak ada manfaat
GUE HIMBAU KE SELURUH BANGSA INDONESIA 278 JUTA RAKYAT INDONESIA UNTUK RAME2 KENCINGIN PULAU SINGAPORE BIAR TENGGELAM....,@saifullahalamsyah7765,1,Netral,GUE HIMBAU KE SELURUH BANGSA INDONESIA JUTA RAKYAT INDONESIA UNTUK RAME KENCINGIN PULAU SINGAPORE BIAR TENGGELAM,gue himbau ke seluruh bangsa indonesia juta rakyat indonesia untuk rame kencingin pulau singapore biar tenggelam,"['gue', 'himbau', 'ke', 'seluruh', 'bangsa', 'indonesia', 'juta', 'rakyat', 'indonesia', 'untuk', 'rame', 'kencingin', 'pulau', 'singapore', 'biar', 'tenggelam']","['gue', 'himbau', 'seluruh', 'bangsa', 'indonesia', 'juta', 'rakyat', 'indonesia', 'rame', 'kencingin', 'pulau', 'singapore', 'biar', 'tenggelam']",gue himbau seluruh bangsa indonesia juta rakyat indonesia rame kencingin pulau singapore biar tenggelam
