Komentar,Username,Like
"Stuju  pak benix.. Mari kita sama memberitakan indonesia yang positif sya tidak bisa berkuntribusi kenegara karna kterbatasan pengetahuan tapi sedikitnya saya tiap bulan megirim ringgit ke kampung walau tidak seberapa tapi setidaknya ada devisa negara yg saya buat utk memajukan negara indonesiaku dengan bekerja di luar negri, daripada orang2 yang asyik menyalahkan pemerintah apalagi sampai trima uang dari orang yg mau merusak negara, salam orang lombok dari serawak malaysia",@MahmudZaeniah,1
Kumpulan orang2 tolol....yang mengatakan Indonesia bangkrut....cuci otak sama asing.....,@bangsonni,0
Asing itu oligarki yang simpan duit diluar ntar juga balik lagi,@adnantambun8907,0
"TEMPO,KOMPAS,TRIBUN...BBC.....",@YutupePro,0
Good news 🎉🎉,@aanandiyanto2023,0
G ada emerging market g ada frontier ihsg baek ke develpoment market,@GearShiftNation7,0
10+2 = 13,@MuhamadAkil-fx3gc,0
Pasti meroket !!!!! 🚀🚀🚀🚀🚀🎉🎉🎉💥💥💥🔥🔥🔥,@rensylorens2349,0
"Berita paling aktual dari majalah pak tani indonesia tambah terang karena brangkat ke sawah dan ladang pagi dan siang apalagi musim kemarau, kwkw...yang pasti petani makin makmur",@bujangumbaranchannel1729,0
Kita harus bersatu untuk Indonesia lebih baik.jangan mau di adu domba oleh bangsa asing.,@ilyas7765,0
Krn dibayar,@aguspurnomo8937,0
"Iblis menyesatkan lwt Brita bohong,panik,bingung,takut,,ditangkap antek iblis,LSM,media dana asing",@HamkaZaki-z6y,0
"Pasar modal tidak bergerak karena narasi viral, tapi karena data dan kepercayaan jangka panjang. Jika isu MSCI bisa memicu kepanikan dan outflow besar, maka yang perlu dievaluasi bukan hanya kabarnya benar atau hoax, tapi juga seberapa rapuh kepercayaan investor terhadap pasar kita.🇮🇩",@febriannur796,0
"Kalo kata benix bagus ya bagus,, klo nggak ya nggak,, data bicara",@aliarman7232,0
23 Juni to the moon❤🎉,@GrosirKarakter,0
"Kayaknya bg bennix lagi sibuk,ga upload video baru.",@Go_bidku,0
"Lebih bagus dari Korsel, tapi downgrade karena GK ada fitur b inggris 😂",@Muhie99,0
Indonesia gk butuh singapura,@BASSFISM,0
"Bang ben, asli masalah kepemilikan saham indonesia itu sangat dipertanyakan. udh pernah investigasi soal ini dan banyak perusahaan yg kepemilikan ga transparan. jadinya harga sahamnya juga mereka yang atur.",@Rynaldi_Rizwan,0
"Om ben tolong dengan sangat angkat durian varietas mantuala batuhayam 🙏 varietas ini baru di temukan 5 tahun belakangan, sekarang baru viral di kalangan petani durian. Sumpah saya tidak ada maksud nyari keuntungan sama sekali, saya tidak jual bibitnya, saya juga belum punya pohonnya. Murni tulus demi kebaikan dunia pertanian indonesia. Sumpah om ben, durian ini unik dan amat sangat potensial sekali menjadi komoditas andalan indonesia kelak, bahkan saya yakin akan mengalahkan montong. Karna 2 hal, rasa istimewa, ramah pemula, bau yang tidak seperti durian sehingga orang yang tidak doyan durian insyaAllah doyan mantuala batuhayam. Orang eropa dan amerika yang mayoritas gak doyan durian bakal doyan varietas ini !. Selain itu om ben, mantuala batuhayam punya daya simpan yang gila. Difrozen berbulan bulan rasanya tidak berubah. Ini yang bikin saya yakin durian ini amat sangat potensial jadi maskot pertanian indonesia. Tolong om ben 🙏 boleh dipelajari dulu apa itu mantuala batuhayam karna ini varietas baru, persilangan dari kalimantan selatan. Dicicipi dulu juga boleh. Syukur syukur kalau om ben mau buka kebun durian mantuala batuhayam atau sekedar investasi",@Baramada_channel,0
penyebar hoaaks itu manusia2 goblok,@wayanadiantara6035,0
Correct,@GrandSire-p4w,0
"Mau dijelasin bagaimanapun. Meski IHSG & Rupiah terus menguat, meski harga pertamax diturunkan, andaikan MBG dihapus. Mereka para oposan liberalism tetap tdk akan percaya, karena pada dasarnya otak & hati mereka sdh diliputi rasa benci ke pemerintah.",@imiam-c1h,0
"Go to hell with MSCI 
Mereka hanya mencari rente buat aturan investor asing masuk ke bursa efek",@basukiUtomo,1
bang... bahas ttg pungutan2x pajak dan retribusi yg memberatkan pelaku usaha dunk... terutama retribusi daerah... bagi investor,@taufanirza5203,0
"Seandainya negara Indonesia bangkrut dan bubar, maka tidak akan bubar rakyatnya.
😂😂😂😂😂😂😂😂😂",@asehdihan2461,0
"Waw. 
Soros ?",@rh2576,0
coba kantor berita tempe ditutup aja jgn kasih ijin media busuk sperti itu trus menjelekkan negara Indonesia,@wayanadiantara6035,0
Media dapat kucuran dana asing,@dermawantasitepu4560,0
"Om ben update videonny sesuai timeline, analisis lu cukup decisive tp klo ketinggalan isue 1 atau 2 hari kemudian video bru muncul its too bad",@andiwarna9930,0
Tolong media indo harus ada perhatian dr pemerintah yang tegas biar gak sembarang dalam memberitakan sesuatu,@Wongjowoasli-zv7kr,0
Indonesia pada dasarnya literasinya buruk atau memang sebodoh itu ya,@JohnLeton82,0
Kenapa ya kalo bukan partai Redbull yang megang kendali sering banyak demo dan kerusuhan .,@WeednimNemo,0
TEMPE BACEM LAGI BIKIN ULAH!! JANGAN MAU KITA DIADU DOMBA LAGI GAES,@Gungkurosaki,0
Mampus,@muhammadsadan4842,0
"Malah enakan bursa indo nampak antrian bid offernya, saham as dan negara lain ga nampak bid offernya, kayak beli kucing dalam kaleng😂😂😂",@studiofasolasido9222,0
"Salam sehat, salam cuan, bye bye *Musik Outro",@letgenmahendra7873,0
"Yg penting presiden omon2 jangan pidato lagi,karena pidatonya ngaco dan blunder melulu",@ahmadmubarok1832,0
MSCI IS TERORIST,@Atm_-br2rl,0
@Bennix tolong share url dari tabel MSCI tadi❤,@TheArif99,0
"Hari ini saya merayakan portofolio ETF saham senilai 130 ribu dolar. Saya memulai perjalanan ini dengan 16 ribu dolar, saya senang akhirnya banyak orang yang tertarik dengan ETF saham. Saat ini saya memiliki portofolio senilai 130 ribu dolar dan saya bersedia membeli lebih banyak saham, saya akan berinvestasi di saham-saham lainnya.",@JamesBill-q1h,7
"MCSI TERLALU TAKUT DENGAN INDO MAKANYA MAU DI TURUNUN,kocag emang",@YosuaSatriaEkatama,0
Menurutku sih pemerintah wajib babat semua media cap tai.,@AhoAho-m4z8b,0
"org2 kbnykan jdi agen asing, tmbah lgi mlas baca & nelan mntah2 btita hoax",@kandarraja,0
"Selama hilirisasi tetap dijalankan, ekspor 1 pintu direalisasikan, Indonesia bakalan terus diteken sama jaing-jaing peliharaan George Soros",@ChaiyoRadioID,0
Chanel bang Ben ibarat hujan di tengah kemarau... dengan nonton chanel ini hati yang resah karena kabar²  di luar sana kembali tenang...,@nadineolid818,0
Cabut izin nya tuh tempo sampah.pengkhianat bangsa,@Pendukungtimnas79,0
"Indonesia kacau, indonesia bubar, Indonesia gelap tapi ada masyarakat yg penghasilannya 100juta perbulan apakah akan kacau akan bubar akan gelap oh tidak cuma otak kalian saja yg kena narasi busuk",@yhmrhmdn1710,0
Bagaimana Anda berhasil mencapai tingkat pertumbuhan tersebut? Saya telah melakukan segala yang saya bisa untuk meningkatkan investasi saya. Saya ingin pensiun dalam beberapa tahun lagi dan membutuhkan diversifikasi yang lebih baik.,@RoyR.Barbosa,0
BERING TSANG MENTORSHIP,@JamesBill-q1h,0
Cukup telusuri nama-nama tersebut. Anda akan menemukan detail yang diperlukan untuk berkorespondensi dan membuat janji temu.,@JamesBill-q1h,0
"GOOGLE only....,",@JamesBill-q1h,0
Terima kasih telah membagikan ini di sini. Banyak pemula seperti saya yang merasa putus asa setiap hari. Untungnya kita memiliki orang-orang baik di sini yang ingin orang lain sukses seperti mereka.,@RayLooker-m4t,0
"Saya menghargai informasinya, saya baru saja mencari namanya di Google dan memeriksa kredensialnya, dia tampaknya berpendidikan tinggi. Saya menghubunginya karena saya membutuhkan seseorang yang benar-benar memahami dasar-dasarnya.",@RoyR.Barbosa,0
"Saya sangat berterima kasih kepada BERING TSANG MENTORSHIP karena telah menjadi mentor yang luar biasa. Kebijaksanaan, kejelasan, dan pola pikirnya yang unik telah mengubah cara saya belajar dan berkembang. Saya bersyukur atas dukungan terus-menerus dan pengetahuan yang terus ia bagikan.",@RichardL.Wilcox,0
Terima kasih atas informasinya. Saya harus melakukan pencarian online singkat dengan nama lengkap dan menemukan halaman webnya.,@ReginaldA.Slowik,0
Internet dipenuhi dengan begitu banyak informasi bermanfaat tentang MENTORSHIP BERING TSANG.,@user-sc5ng5wm5j,0
"Dari NY. Saya mulai berinvestasi seminggu yang lalu. Saya mulai dengan $1.000, sekarang saya sudah lebih dari $5.955. Ini awal yang bagus di pasar saham. Terima kasih atas informasinya. Damai, kekuatan, dan cinta.",@user-sc5ng5wm5j,0
"Bering tidak hanya sekadar melihat tren di permukaan... ia mengeksplorasi analisis teknikal, fundamental, dan sentimen, menawarkan perspektif komprehensif tentang pasar.",@user-de1dv7xf4u,0
"Berinvestasi tanpa panduan yang tepat dapat menyebabkan kesalahan dan kerugian. Saya telah belajar ini dari pengalaman saya sendiri. Jika Anda baru mengenal investasi atau tidak punya banyak waktu, sebaiknya mintalah nasihat dari seorang ahli.",@MichaelD.Castillo,0
Potensi imbal hasil tinggi yang sama ada baik dalam situasi bullish maupun bearish; yang penting adalah bagaimana informasi dan teknik digunakan. Jangan mengabaikan nasihat profesional.,@DeniseJ.Wilson-t1t,0
Ini betul,@Bennix,0
"Saya ga skolah, tinggi,dan saya hanya ibu rumah tangga biasa biar saya,ga bodoh nangkep berita2 sekarang yg banyak hoax ,mangkanya saya selalu pantengin yutub bang bennix biar ga ke ter propokasi sama beria2 sekarang yg ga jelas mana yg bener dan salah",@mounime_official,0
"Intinya semua punya kepentingan.
Anda punya pentingan, asing punya kepentingan, pemerintah punya kepentingan memperkaya diri dengan mengorbankan kalangan bawah, konglo pun punya kepentingan.
Saya mengatakan sistemnya sudah tdk bisa di perbaiki.
Kalangan bawah mau coba keluar dari sistem langsung di hantam oleh pemerintah dan oligarki.
Kalangan bawah di paksa bekerja untuk orang lain, kalau gak bekerja untuk kalangan atas maka pemerintah korup mendapatkan suap.",@RasminRoger-qq3jf,0
"Media informasi Indonesia sekarang isinya kebanyakan cuman bikin panik, nebar kebencian sama hoax 😮‍💨",@RayPunkLord,0
"Ya krn rakyat kita kurang Gizi tapi ngotot pingin pendidikan tinggi (padahal otaknya gak nyampai krn IQ 78 atau lagi laper gak bisa makan), akhirnya mudah diadu domba, mangkanya Belanda bercokol di Nusantara bisa lama banget, mudah diiming2i janji2 manis shg mereka pun dibuat seolah2 jadi Tuhan no 2 setelah Tuhan Yang Maha Esa yg bisa mengabulkan semua angan2 mereka jika kelak menjadi Presiden ......... namun kenyataan menjadi berbeda, akhirnya mereka pun murka dan mecari Tuhan2 yang baru untuk menggantikan Presidennya ............

mungkinkah yg bisa diatasnya bursa efek Indonesia adalah bursa efek Malaysia?",@reryprabayana4865,0
Neolib memang anjing benar🤣,@bedjotenan-s4c,0
Neolib memang anjing,@bedjotenan-s4c,0
Dibayar partai p61,@Arifmu4444,0
NKRI Berjaya,@rantohutabarat6013,0
.,@samsoe168,0
"Aneh, sudah sejelas ini videonya, masih aja gagal paham. Lihat komentarnya kok malah menghujat MSCI. Padahal pembuat berita palsu itu tempo dan CNA.",@DarkKnight-de7np,0
Channel PENJILAT!! MENIPU RAKYAT Indonesia! Hoax!,@BerronKarl,0
Tambah ilmu terus gua dari lu om. Thanks a million!,@JulvianAnggawie-eq2rh,0
BIARPUN RAJA NERAKA DATANG MEMBUAT ULAH DI INDONESIA PASTI AKAN KERINGAT DINGIN LARI TUNGGANG LANGGANG DI HAJAR RAKYAT INDONESIA,@ENKAERI-m6s,0
Usir ja media sampah yg ada di indonesia,@tonyecelen7250,0
George soro'ss puppy dog .. 😃,@LevyPrasetya,0
Mereka emang pgn lndonesia ancur,@opdisdsign5622,0
"Saya dengerin bennix saja, berita2 kemarin memang saya skip....takut dengerin",@nurulsusanti915,0
Orang Konoha mudah ketipu,@CHYEKIJR,0
Singapore pengen  di kemplang pake bakiyak!,@LEMBAYUNGSENJA-n5c,0
Nyebar hoaks buat ngambil barang murah,@youneedtoknow1321,0
Buang saja dolarnya anjing anjing neolib tak ada gunanya juga,@bedjotenan-s4c,0
Ayo para hecker Indonesia hancurkan MSCI...n media Singapura.,@AgungBoim,0
MSCI   Kampretozzzzz   !!!,@hanggoroboedirahardjo,0
Prof lattu,@IruRusadi,0
"Wow Malaysia 🇲🇾 keren sekali gak minus sama sekali, hebat² 😅 , kalian bisa lihat di menit 15:01 😁",@JunaidiApp-w1d,0
"Kalo terlalu transparan juga nanti asing tau kartu trup nya usaha kita tau dapur kita... 
Transparan yng ada batas nya... 
Pasar modal asing luar juga ga 100% transparant..... 
Kalo cewe baju transparant mantep itu
Hahaha",@KasidiKasidi-n6t,0
"Yang butuh di perbaiki itu SDM kita. 
di sentil sedikit udah kelimpungan, bikin huru hara. 
Kurang uang belanja pun salah pemerintah!!!😂
Contoh kemarin minyak kita langka dan mahal padahal pak Amran sudah menyatakan tidak ada kelangkaan barang tsb.
kalau kita berpikir jernih pasti ada oknum yg bermain di situ😅
Padahal itu cuma pemain kelas cere loh
Apalagi ini saham,uang gede.
tahulah siapa yg main di dalamnya 😅",@milat-yala,0
Hidup NKRI ❤❤ hidup pak Presiden Prabowo ❤❤❤,@Faizk07,0
Tangkap smua anjing anjing nya joss kamprett.,@LerryRumakat,0
"Buzzers penghianat bangsa di Indonesia emang PARAH, JIJIK, PELACURNYA sorros dan MAFIA",@suyantobtn,0
Jangan mau kt di adu domba oleh bangsat2 asing aseng yg ingin Indonesia hancur. krna mreka tau Indonesia adalah lahan surga yg bs di ambil keuntungan utk negara mreka yg sampah.mreka ga mau Indonesia jd negara kuat krna akan mnyulitkan mreka bangsat2 itu utk mengeruk kekayaan alam serta uang dari Indonesia. mmg sengaja Indonesia di buat miskin dan bodoh spy gampang di perbudak. INGAT KITA BANGSA INDONESIA JANGAN JADI ORG TOLOL YG GAMPANG DI PECAH BELAH DAN DI BENTURKAN SPY SESAMA KITA BERANTAM. KITA PERTAHANKAN KEKAYAAN ALAM KITA SPY TDK DI CURI LG.,@lakimantap3584,0
Thx ilmu dan infonya Bro,@user-zb7jm3rq9k,0
Emg Brengsek MSCI kemarin juga permasalaain Bahasa Segala La emg harus pake bahasa apaan bahasa hewan,@firmanhadiwicaksono3397,0
"BIARKAN BURSA INDONESIA BUBAR NKRI TETAP BERDIRI DAN BERDAULAT.... NKRI HARUS MANDIRI DAN BERDIRI SENDIRI, TAK PEDULI MSCI...",@harytripamungkas1571,0
"Jangan sampai kepancing, Indonesia mau dihancurkan dengan cara melemahkan rupiah dan menggoyang saham, cobak di dalam negri semua lepas dollar pasti rupiah akan kuat, kita harus saling bahu membahu ditengah isu² negatif yang marak beredar dimedia yang bisa diakses siapa saja, cobak kayak singapur media yang nggak mutu di cat untuk menepis isu² negatif",@muslihanhadi940,0
Makan Gaji Buta pemegang OTORITAS BEI,@MyPrastCorp,0
"Saking banyaknya hoax dr media soros, tempe busuk bilang Purbaya mau di copot prabowo🤣🤣 Parah bgt.. Pdhl Purbaya aja lagi sibuk ngurus Panda bond ke china.. Emang anjing bgt antek soros",@funfact1789,0
"JUSTRU RAKYAT KITA SENDIRI YANG MENURUNKAN LAYAR POSITIF PARA INVESTOR ASING,MIRIS",@NBDek-w,0
"Nggak ada sejarahnya negara kaya ( sumber daya alam besar) dan populasi yg besar akan bangkrut. Yang ada saat ini perubahan mendasar ekonomi jadi pemilik pasar dunia dengan menjadi pemain inti perdagangan dunia adalah hal yg akan merubah secara otomatis human resources di Indonesia semakin pintar dan semakin kuat. Sekali lagi jangan tunjukkanbkamar kamar ekonomi kita, kita tunjukkan ke mereka, maksudnya adalah jangan kita kasih mereka memiliki kamarvkamar itu kemudian hari. Nkri harga mati. Percayalah Indonesia terbukti dari masalah ekonomi apapun tetap kuat. Sekarang ideologi Pancasila itu harus tegak Berdiri jangan digerogoti. Stop demo dan gunakan pedang pemerintah, siapapun perusak bangsa. Hukum dan tentara, polisi perlu digunakan.  Nkri harga mati",@binsarhasibuan1054,0
Chanel bung Benix dan prof Gema yg slalu mencerdaskan dan tdk menyesatkan masyarakat,@Abah_KR,0
16:22 oligarki di Indonesia hobby nya ngadalin investor India,@WowiekSantara-gr9ws,0
"Mahasiswa U.I. U.G.M nangis nonton Chanel ini.

Karna pak Benix menjelekan negara yang selama ini memberi mereka ""uang jajan"" 👉🇸🇬",@Robot685-w7l,0
Nah gini seharusnya cara mahasiswa mencari data suapaya tidak salah jgn berdasarkan film pesta bab.. 😂😂,@faozilakbarchanel2443,0
GOTO & DADA TERSENYUM DI SINDIR LU OM WKWKWKWK,@thebost5951,0
Kalau narasi lawan msci ya mungkin boleh lah.. tapi tunggu review Moody's Nanti soalnya itu bukan saham lagi tapi review tentang kemampuan bayar Dan kondisi fiskal negara kita,@abubakr535,0
"Di rusia segala sesuatu yg berbau soros dilarang masuk,,, ayo indonesia tinggal tiru,,, TEGAS !",@CekoCaki,0
Gilak bahas iran lebanaon bang,@Ikhwanhbr02,0
terus kenapa market indonesia masih di freze sama msci ?,@tordiagus,0
Saat ny JD orang ky baru,@milenix83,0
"Media Singapura bener2 sudah menabuh Genderang Perang.., Padahal mereka sdh lama menikmati Hasil penjajahan mereka dari Indonesia karena Pejabat IQ 45 jaman dulu..! 😮😮😮",@tiotopsatug1318,0
"OM BEN, BAHAS E-IPO RANS😮 ENTERTAINMENT",@Irvan-lw3mo,0
"Om bennix, bikin review IPO saham nya Raffi Ahmad dong om Ben. Apakah IPO yang menarik menurut om Ben?",@KUR0T0D21,0
"Ternak soros,,ternak singakura,,ternak malaydesh,,terdiri  dari: mahasewa,,gerombolan kalah pilpres,,pengamat dan propesor,,media,,Lsm,aktivis,akademisi antek asing,, mereka semua inilah penghianat yg menghancurkan bangsa.. 😎😎",@ziarziaribt2996,0
Indondesh negara miskin lagi apes 😂😂😂,@Mraril94Cutemen,0
SELL SINGAPUR BANGKRUTKAN SINGAPURA SUDAH KETERLALUAN MEREKA!!!,@posihusnudhon3325,0
"Masih heran tdk habis pikir dgn gen Z yg malah menginginkan dan mendoakan Indonesia gelap & bangkrut, padahal dia lahir, tumbuh, belajar di negara yg selama ini menaunginya dgn aman. Kebencian itu sungguh bs menutup akal, logika dan hati. Hanya Tuhan yg bs negur mereka spy bs lbh tahu diri & bersyukur.",@nnuzwar,0
Buzzer prabodoh,@MitraSolusiindonesia,0
"Baguslu bang pembahasannya objektif TAPI semua hanya satu variabel saja padahal kan nggak salah satu penyebab perlemahan kepercayaan investor kembali lagi kepada kepercayaan warga negaranya pada sistem yang ada,kita bisa digoreng media ya karna ada celah disitu.
Trus untuk melihat sisi positif indo jangan terlalu di utamakan karna untuk pengaruhnya ke ekonomi bukan cuma penilaian pada bursa saham tapi juga kondisi sosial masyarakatnya.
Sekian dari saya untuk permirsa boleh menonton seperti in cenel apapun itu tapi jangan lupa dengan akal pikir kritis karena taqlid buta(percaya percaya aja)pada satu jenis penjelasan atau pemahaman dapat menjerumuskan kita ke lubang perpecahan",@ARGUSEROR,0
Bang gw takutnya agen soros bayar yuutub buat banned akun elu 🤦,@alkertvku7777,0
"msci itu perpanjangan tangan dari pemodal gede di luar negeri, karena saat jatuhan saham akibat review msci saham2 yg bagus akan jatuh dan sangat murah karena hasil review, saat jatuh ini pemodal akan masuk beli saham bintang 5 dgn harga kaki 5, jd gak perlu kita gubris pengumunan msci ini ( sampah ) kalau kita angap perusahaan yg bagus dan masih cuan ya beli saja",@harryantocps5078,0
"Coba kita lihat pimpinan BEI yg baru apakah cuma omong besar mau membawa BEI setara bursa negara2 maju di dunia, atau malah ikut menghancurkan perekonomian Indonesia dengan menerima suap dari emiten yg bermasalah",@BintangSamudra15,0
"kita bermain di game sistem keuangan yang mereka ciptakan. kita cuma pemain atau pion aja...

sebagai pemain ya cuma bisa ikut rulenya, mau di bagusin di jelekin ya terserah yang punya game.",@ernasinatun,0
"Indonesia adalah Satu Negara Besar yg punya Hasil sumber DAYA 3:05 ALAM 3:20  Yang LUAR BIASA' ,KALAU NEGARA' INI DIKELOLA OLEH ORANG YANG BENAR YANG ANTI KORUPSI,NEGARA INDONESIA AKAN MENJADI NEGARA BESAR,NEGARA SUPER POWER ...TETAP SEMANGAT PERCAYA DIRI GAK USAH TAKUT DENGAN MSCI ...KITA INDONESIA NEGARA NESAR BERKELIMPAHAN DENGAN SUMBER DAYA ALAM .....",@soehendro3303,0
Kok media besar buat hoax gak di tangkap,@rrhaircare_,0
ROMANIA akan gantiin indonesia om ben di Emerging market :_KAGET:,@Shortsfunnystory-r9d,0
Biasaaaaa oposisi panik kalo ekonomi Indonesia bagus.. 2029 prabowo tiada lawan.,@YudoYudo-j5x,0
"Saran saya nonton AKELA ATAU ASTRONACCI AJA.
LU NONTON BENNIK MALAH JADI SESSAT PIKIR.
KARENA BENIX BUZZER. ISINYA HOAK",@Brainxen,0
Burkina faso masuk ga pengganti endonesa 🤣,@faro_me,0
"MSCI tahu kok dr dl kepemilikan saham di Indonesia,jd ini hanya cari cari alasan aja kok .
Lucunya baru komplen masalah laporan keuangan pakai bahasa Indonesia,lah kan dr dl banyak yg gini .
Tapi 1 hal, karena yang di komplen hanya ini,ini kan sedang dlm perbaikan dan gampang di perbaiki",@hoangshianchi,0
"Benar indonesia kurang transparan , saham gorengan , KKN di mana mana apalagi saham pemerintahan , sama kriminalisasi pengusaha di anggap kk. Contoh kasus antam sama pengusaha asal indonesia . Gimana beli harga discount di tuduh KKN dengan tuduhan kerjasama , orang usaha di persulit ,  intinya penguasa itu penuh KKN",@finalchoice8668,0
Kalah ama china sama patung liberty om 😂,@FAKTA_PIKIRAN,0
Soros diomongin kl gonggong soal mending tarik aja dolar sebanyak mungkin tarik anjing soros tapi masih di kandang....hemmm....,@TessiStroberi,0
Masalahnya lu juga enggak bisa ngatur pasar di luar.....enggak bisa kendaliin MSCI....iya belum tapi tanda tanda...😢😢😢😂😂😂😂,@TessiStroberi,0
"21:51 kenapa media menjatuhkan terus? 
Karena mereka mencari viewer dari situ lah mereka dapat cuan nya 😮
Contoh saja influenz konten kreator kalau mereka menjelekkan menjatuhkan pemerintahan dan menjelekkan Indonesia pasti view nya tinggi di tambah iq viewer nya IQ gorila 🦍🦍",@haidirfajri6623,0
kalo kata2 MSCI menentukan kiamatnya sebuah negara.. kasian Paman Sam ga dianggep..,@Supralog_GTM,0
Top3 dibawah jepang? Dan China?,@INyomanMulatiyasa,0
"media meraka kan di dorong sama oligarki wajar lah satu komando , monyet emang tu anjing anjing",@fortunecookies99,0
Indonesia baik2 z,@RascelNurharvanti,0
"Media ecek2 Indonesia kebanyakan nyebar berita negatif, cuma bennix yg sesuai dengan fakta, dari pandangan investasi,,, media mainstream Indonesia kebanyakan hoax",@MudaRejosariofficial,0
"#IMF #MSCI #Tempo #StraitsTime #Soros and the gank go to the hell
Gua ga butuh validasi Luh....
#BubarkanUI
#BubarkanUGM
#SellSingapore
#MiskinkanSingapura
#SyiahBukanIslam
#TangkapPaketC",@vedriant5013,0
